City,Population(2011),State
Bilaspur,"3,30,106",Chhattisgarh
Shahjahanpur,"3,27,975",Uttar Pradesh
Satara,"3,26,789",Maharashtra
Bijapur,"3,26,360",Karnataka
Kurnool,"3,25,300",Andhra Pradesh
Rampur,"3,25,248",Uttar Pradesh
Shimoga,"3,22,428",Karnataka
Chandrapur,"3,21,036",Maharashtra
Junagadh,"3,20,250",Gujarat
Thrissur,"3,15,596",Kerala
Alwar,"3,15,310",Rajasthan
Bardhaman,"3,14,638",West Bengal
Kulti,"3,13,977",West Bengal
Nizamabad,"3,10,467",Telangana
Parbhani,"3,07,191",Maharashtra
Tumkur,"3,05,821",Karnataka
Khammam,"3,05,000",Telangana
Ozhukarai,"3,00,028",Puducherry
Bihar Sharif,"2,96,889",Bihar
Panipat,"2,94,150",Haryana
Darbhanga,"2,94,116",Bihar
Bally,"2,91,972",West Bengal
Aizawl,"2,91,822",Mizoram
Dewas,"2,89,438",Madhya Pradesh
Ichalkaranji,"2,87,570",Maharashtra
Karnal,"2,86,974",Haryana
Bathinda,"2,85,813",Punjab
Jalna,"2,85,349",Maharashtra
Eluru,"2,83,648",Andhra Pradesh
Barasat,"2,83,443",West Bengal
Kirari Suleman Nagar,"2,82,598",Delhi
Purnia,"2,80,547",Bihar
Satna,"2,80,248",Madhya Pradesh
Mau,"2,79,060",Uttar Pradesh
Sonipat,"2,77,053",Haryana
Farrukhabad,"2,75,750",Uttar Pradesh
Durg,"2,68,679",Chhattisgarh
Imphal,"2,64,986",Manipur
Ratlam,"2,64,810",Madhya Pradesh
Hapur,"2,62,801",Uttar Pradesh
Arrah,"2,61,099",Bihar
Anantapur,"2,61,004",Andhra Pradesh
Karimnagar,"2,60,899",Telangana
Etawah,"2,56,838",Uttar Pradesh
Ambarnath,"2,54,003",Maharashtra
North Dumdum,"2,53,625",West Bengal
Bharatpur,"2,52,109",Rajasthan
Begusarai,"2,51,136",Bihar
New Delhi,"2,49,998",Delhi
Gandhidham,"2,48,705",Gujarat
Baranagar,"2,48,466",West Bengal
Tiruvottiyur,"2,48,059",Tamil Nadu
Pondicherry,"2,41,773",Puducherry
Sikar,"2,37,579",Rajasthan
Thoothukudi,"2,37,374",Tamil Nadu
Rewa,"2,35,422",Madhya Pradesh
Mirzapur,"2,33,691",Uttar Pradesh
Raichur,"2,32,456",Karnataka
Pali,"2,29,956",Rajasthan
Ramagundam,"2,29,644",Telangana
Silchar,"2,29,136",Assam
Haridwar,"2,28,832",Uttarakhand
Vijayanagaram,"2,28,025",Andhra Pradesh
Tenali,"2,25,982",Andhra Pradesh
Nagercoil,"2,24,849",Tamil Nadu
Sri Ganganagar,"2,24,773",Rajasthan
Karawal Nagar,"2,24,666",Delhi
Mango,"2,23,805",Jharkhand
Thanjavur,"2,22,943",Tamil Nadu
Bulandshahr,"2,22,519",Uttar Pradesh
Uluberia,"2,22,240",West Bengal
Katni,"2,21,883",Madhya Pradesh
Sambhal,"2,20,813",Uttar Pradesh
Singrauli,"2,20,257",Madhya Pradesh
Nadiad,"2,18,095",Gujarat
Secunderabad,"2,17,910",Telangana
Naihati,"2,17,900",West Bengal
Yamunanagar,"2,16,677",Haryana
Bidhannagar,"2,15,514",West Bengal
Pallavaram,"2,15,417",Tamil Nadu
Bidar,"2,14,373",Karnataka
Munger,"2,13,303",Bihar
Panchkula,"2,11,355",Haryana
Burhanpur,"2,10,886",Madhya Pradesh
Raurkela Industrial Township,"2,10,317",Odisha
Kharagpur,"2,07,604",West Bengal
Dindigul,"2,07,327",Tamil Nadu
Gandhinagar,"2,06,167",Gujarat
Hospet,"2,06,167",Karnataka
Nangloi Jat,"2,05,596",Delhi
Malda,"2,05,521",West Bengal
Ongole,"2,04,746",Andhra Pradesh
Deoghar,"2,03,123",Jharkhand
Chapra,"2,02,352",Bihar
Haldia,"2,00,827",West Bengal
Khandwa,"2,00,738",Madhya Pradesh
Nandyal,"2,00,516",Andhra Pradesh
Morena,"2,00,482",Madhya Pradesh
Amroha,"1,98,471",Uttar Pradesh
Anand,"1,98,282",Gujarat
Bhind,"1,97,585",Madhya Pradesh
Bhalswa Jahangir Pur,"1,97,148",Delhi
Madhyamgram,"1,96,127",West Bengal
Bhiwani,"1,96,057",Haryana
Berhampore,"1,95,223",West Bengal
Ambala,"1,95,153",Haryana
Morbi,"1,94,947",Gujarat
Fatehpur,"1,93,193",Uttar Pradesh
Raebareli,"1,91,316",Uttar Pradesh
"Khora, Ghaziabad","1,90,400",Uttar Pradesh
Mahbubnagar,"1,58,000",Telangana
Chittoor,"1,89,332",Andhra Pradesh
Bhusawal,"1,87,421",Maharashtra
Orai,"1,87,137",Uttar Pradesh
Bahraich,"1,86,223",Uttar Pradesh
Vellore,"1,85,803",Tamil Nadu
Mehsana,"1,84,991",Gujarat
Raiganj,"1,83,612",West Bengal
Sirsa,"1,82,534",Haryana
Danapur,"1,82,429",Bihar
Serampore,"1,81,842",West Bengal
Sultan Pur Majra,"1,81,554",Delhi
Guna,"1,80,935",Madhya Pradesh
Jaunpur,"1,80,362",Uttar Pradesh
Panvel,"1,80,020",Maharashtra
Shivpuri,"1,79,977",Madhya Pradesh
Surendranagar Dudhrej,"1,77,851",Gujarat
Unnao,"1,77,658",Uttar Pradesh
Chinsurah,"1,77,259",West Bengal
Alappuzha,"1,74,164",Kerala
Kottayam,"1,72,878",Kerala
Machilipatnam,"1,69,892",Andhra Pradesh
Shimla,"1,69,578",Himachal Pradesh
Adoni,"1,66,537",Andhra Pradesh
Udupi,"1,65,401",Karnataka
Katihar,"1,64,937",Bihar
Proddatur,"1,63,600",Andhra Pradesh
Saharsa,"1,55,175",Bihar
Dibrugarh,"1,54,296",Assam
Jorhat,"1,53,889",Assam
Hindupur,"1,51,835",Andhra Pradesh
Nagaon,"1,48,496",Assam
Sasaram,"1,47,396",Bihar
Hajipur,"1,47,126",Bihar
Bhimavaram,"1,42,280",Andhra Pradesh
Kumbakonam,"1,40,056",Tamil Nadu
Bongaigaon,"1,39,650",Assam
Dehri,"1,37,068",Bihar
Madanapalle,"1,35,669",Andhra Pradesh
Siwan,"1,34,458",Bihar
Bettiah,"1,32,896",Bihar
Tinsukia,"1,26,389",Assam
Guntakal,"1,26,270",Andhra Pradesh
Srikakulam,"1,25,939",Andhra Pradesh
Motihari,"1,25,183",Bihar
Dharmavaram,"1,21,874",Andhra Pradesh
Gudivada,"1,18,167",Andhra Pradesh
Phagwara,"1,17,966",Punjab
Narasaraopet,"1,16,250",Andhra Pradesh
Suryapet,"1,15,250",Telangana
Miryalaguda,"1,09,891",Telangana
Tadipatri,"1,08,171",Andhra Pradesh
Karaikudi,"1,06,714",Tamil Nadu
Kishanganj,"1,05,782",Bihar
Jamalpur,"1,05,221",Bihar
Ballia,"1,04,271",Uttar Pradesh
Kavali,"1,04,000",Andhra Pradesh
Tadepalligudem,"1,03,906",Andhra Pradesh
Amaravati,"1,03,000",Andhra Pradesh
Buxar,"1,02,591",Bihar
Tezpur,"1,02,505",Assam
Jehanabad,"1,02,456",Bihar
Aurangabad,"1,01,520",Bihar
Gangtok,"1,00,286",Sikkim
